Time,Source,Location,ID,Username,Language,Favorite_count,Retweet_count,User_Followers_count,User_Statuses_Count,User_Friends_Count,Tweet
10/19/2022 5:44,Twitter for Android,kadang di AB - kadang di AA ,1.58261E+18,Sibelang,in,0,0,3633,1232,123,b'Baru terasa pegal2nya... Rasanya butuh booster \xf0\x9f\x98\xb5\xe2\x80\x8d\xf0\x9f\x92\xab'
10/19/2022 5:44,Twitter for Android,Java Island,1.58261E+18,ð²ð®ðšðŸŒ¸,in,0,0,1402,18031,1036,"b""mijoo nih mood booster banget ya orangnya:') https://t.co/H5hSkBauS3"""
10/19/2022 5:42,Twitter for Android,,1.58261E+18,Tyas Putra,in,0,0,45,1067,265,"b'@toccabrownie @AndiniDessi @FFOODFESS @blessedlyfe1888 Maaf nyamber ya, bb booster itu istilah mamak2 buat naikin berat badan anaknya secara cepat. Bb booster bisa dr makanan padat gizi, protein tinggi'"
10/19/2022 5:40,Twitter Web App,"Tangerang, Indonesia",1.58261E+18,Contact Center AP II,in,0,0,38285,109577,187,b'@putrinoviaadr Bagi PPDN yg belum melakukan vaksinasi booster tidak diperkenankan melakukan penerbangan. Terima kasih. \xe2\x80\x93Yuri (2)'
10/19/2022 5:40,Twitter Web App,"Tangerang, Indonesia",1.58261E+18,Contact Center AP II,in,0,0,38285,109577,187,b'@putrinoviaadr Halo kak @putrinoviaadr. Untuk regulasi terkini sesuai SE Satgas Covid-19 No. 24 Tahun 2022 bagi penumpang rute domestik wajib menunjukkan vaksin 3 (booster) yang ditunjukkan melalui aplikasi PeduliLindungi. Dan tidak diwajibkan melampirkan hasil negatif covid. (1)'
10/19/2022 5:37,Twitter for Android,"Madiun, Indonesia",1.58261E+18,Jhon Defi,in,0,0,4,3001,5,b'@sebarberitacov @catchmeupid @HerawanAriston1 @LaporCovid @riea_mariska86 @saputrananda0 Epidemiolog UNAIR dukung vaksin booster jadi syarat mudik lebaran'
10/19/2022 5:36,Twitter for Android,,1.58261E+18,Muhammad Raihan,in,1,0,626,30577,534,b'Vaksin booster Bekasi dimana dah buset'
10/19/2022 5:35,Twitter for iPad,,1.58261E+18,Celestial ðŸ€,in,0,0,406,29394,444,"b'@alaskawhy Setuju, terus kalo di aku sertibikat booster ya udah ada riwayat 2 vaksin sebelumnya loh'"
10/19/2022 5:26,Twitter for Android,,1.5826E+18,Apel ðŸ«,in,0,0,694,8172,206,b'selamat siang admin @KAI121 mau nanya untuk vaksin booster di stasiun kiaracondong besok apa tersedia untuk umum?'
10/19/2022 5:24,Twitter for iPhone,,1.5826E+18,Min,in,0,0,738,15373,973,b'@BogorDinkes Min kalau vaksin ke 2 di tempat booster bisa gak ya min?'
10/19/2022 5:22,Twitter Web App,Nowhere,1.5826E+18,AmorVerus,in,0,0,2,929,50,b'Ini sama sekali ga ada info soal ketersediaan vaksin booster di jakarta apaa??? @DKIJakarta @KemenkesRI mau booster aja susah banget'
10/19/2022 5:16,Twitter for Android,Indonesia ,1.5826E+18,Name cannot be blank,in,0,0,46,10594,161,"b'Ini pada koar-koar suruh booster, di puskesmas bisa kosong hampir 2 bulan. Sekalinya ada yg di puskesmas, ga bisa karena vaksin 1&amp"
10/19/2022 5:16,Twitter Web App,Nantes,1.5826E+18,BoosterZâš¡,in,0,0,21,91,160,b'Mario In Cyberpunk 2077\n\n#MarioRabbids #cyberpunk #Mario #NintendoSwitch #cdprojektred \n\nhttps://t.co/kf1sXoVeEB'
10/19/2022 5:15,Twitter for Android,"Nusa Tenggara Timur, Indonesia",1.5826E+18,Alexa,in,0,0,23,511,23,b'@erina_putry4 Ayo vaksinasi booster \xf0\x9f\x99\x8c'
10/19/2022 5:13,Twitter for Android,Indonesia ,1.5826E+18,Name cannot be blank,in,0,0,46,10594,161,"b'Sekalinya bisa dapet chance buat booster vaksin, gw musti ke kabupaten sebelah yg jarak tempuhnya 90 menit naik mobil. Itu jg slotnya penuh semua, ini gw musti tanya orang lab.\nBus udah pasti ga on time, pake ride hailing app sekali jalan at least 300rb anjg'"
10/19/2022 5:13,Twitter for Android,,1.5826E+18,12,in,0,0,71,1647,55,b'@Lenny_diary @BisKota_ @CaloTerminl Wajib vaksin booster apa nga ya'
10/19/2022 5:12,Twitter for Android,"Nusa Tenggara Timur, Indonesia",1.5826E+18,Della Sari 25,in,0,0,33,127,78,b'@erina_putry4 Lakukan vaksinasi lengkap/booster \xf0\x9f\x99\x8c'
